===DATA START===
IMU => X: 359.94 Y: -0.50 Z: 1.12 | ENC: 6769 (148.73 deg) | Servo PWM: 142
IMU => X: 359.94 Y: -0.44 Z: 0.94 | ENC: 6770 (148.75 deg) | Servo PWM: 142
IMU => X: 359.94 Y: -0.44 Z: 1.00 | ENC: 6768 (148.71 deg) | Servo PWM: 142
IMU => X: 359.94 Y: -0.44 Z: 1.12 | ENC: 6769 (148.73 deg) | Servo PWM: 142
IMU => X: 359.94 Y: -0.44 Z: 1.12 | ENC: 6771 (148.78 deg) | Servo PWM: 142
IMU => X: 359.94 Y: -0.44 Z: 1.12 | ENC: 6770 (148.75 deg) | Servo PWM: 143
IMU => X: 359.94 Y: -0.44 Z: 1.00 | ENC: 6770 (148.75 deg) | Servo PWM: 143
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 6771 (148.78 deg) | Servo PWM: 143
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 6769 (148.73 deg) | Servo PWM: 143
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 6770 (148.75 deg) | Servo PWM: 143
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 6769 (148.73 deg) | Servo PWM: 143
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 6772 (148.80 deg) | Servo PWM: 143
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 6769 (148.73 deg) | Servo PWM: 144
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 6769 (148.73 deg) | Servo PWM: 144
IMU => X: 359.94 Y: -0.44 Z: 0.94 | ENC: 6770 (148.75 deg) | Servo PWM: 144
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 6769 (148.73 deg) | Servo PWM: 144
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 6720 (147.66 deg) | Servo PWM: 147
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 6920 (152.05 deg) | Servo PWM: 135
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 7796 (171.30 deg) | Servo PWM: 91
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 540 (11.87 deg) | Servo PWM: 180
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 702 (15.42 deg) | Servo PWM: 180
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 276 (6.06 deg) | Servo PWM: 180
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 7394 (162.47 deg) | Servo PWM: 0
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 6464 (142.03 deg) | Servo PWM: 178
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 5561 (122.19 deg) | Servo PWM: 180
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 4916 (108.02 deg) | Servo PWM: 180
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 4968 (109.16 deg) | Servo PWM: 180
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 6382 (140.23 deg) | Servo PWM: 146
IMU => X: 359.94 Y: -0.44 Z: 0.88 | ENC: 6988 (153.54 deg) | Servo PWM: 128
